AnimalID,RecDate,NovelDay,DataY,StimCond,Environ,BehavT,TrialT
21,201014,1,0.980138071525577,None,1,Lickrate,AllTrials
21,201015,2,0.986992176453954,None,1,Lickrate,AllTrials
21,201016,3,0.948745032946029,None,1,Lickrate,AllTrials
24,201113,1,0.766949152542373,None,1,Lickrate,AllTrials
24,201114,2,0.906494485813932,None,1,Lickrate,AllTrials
24,201115,3,0.710335420670841,None,1,Lickrate,AllTrials
24,201117,1,0.682972855276528,None,1,Lickrate,AllTrials
24,201118,2,0.751952662721894,None,1,Lickrate,AllTrials
24,201119,3,0.851488229968311,None,1,Lickrate,AllTrials
45,211007,1,0.601438492063492,None,1,Lickrate,AllTrials
45,211008,2,0.543944636678201,None,1,Lickrate,AllTrials
45,211010,3,0.5,None,1,Lickrate,AllTrials
45,211012,1,0.592686980609418,None,1,Lickrate,AllTrials
45,211013,2,0.792376454714117,None,1,Lickrate,AllTrials
45,211014,3,0.470173010380623,None,1,Lickrate,AllTrials
46,211017,1,0.68641975308642,None,1,Lickrate,AllTrials
46,211018,2,0.681621535010415,None,1,Lickrate,AllTrials
46,211019,3,0.712841854934602,None,1,Lickrate,AllTrials
46,211020,1,0.481481481481482,None,1,Lickrate,AllTrials
46,211021,2,0.672899408284024,None,1,Lickrate,AllTrials
46,211022,3,0.8714,None,1,Lickrate,AllTrials
47,211017,1,0.858166576527853,None,1,Lickrate,AllTrials
47,211018,2,0.95872899926954,None,1,Lickrate,AllTrials
47,211019,3,0.745069393718042,None,1,Lickrate,AllTrials
47,211020,1,0.539910638811738,None,1,Lickrate,AllTrials
47,211021,2,0.619683553491073,None,1,Lickrate,AllTrials
47,211022,3,0.61,None,1,Lickrate,AllTrials
11,200130,1,0.504752152909053,None,2,Lickrate,AllTrials
11,200131,2,0.787186551107,None,2,Lickrate,AllTrials
11,200201,3,0.720290286394542,None,2,Lickrate,AllTrials
11,200203,1,0.613443921208935,None,2,Lickrate,AllTrials
11,200204,2,0.758156550837194,None,2,Lickrate,AllTrials
11,200205,3,0.859011927382615,None,2,Lickrate,AllTrials
18,200814,1,0.542760724852071,None,2,Lickrate,AllTrials
18,200815,2,0.53654841560409,None,2,Lickrate,AllTrials
18,200816,3,0.539917976760082,None,2,Lickrate,AllTrials
18,200818,1,0.49792899408284,None,2,Lickrate,AllTrials
18,200819,2,0.50214329811646,None,2,Lickrate,AllTrials
18,200820,3,0.496895449137418,None,2,Lickrate,AllTrials
21,201010,1,0.518051531051766,None,2,Lickrate,AllTrials
21,201011,2,0.588460514731476,None,2,Lickrate,AllTrials
21,201012,3,0.72257488593533,None,2,Lickrate,AllTrials
21,201014,1,0.613214285714286,None,2,Lickrate,AllTrials
21,201015,2,0.88123415046492,None,2,Lickrate,AllTrials
21,201016,3,0.70978204976069,None,2,Lickrate,AllTrials
24,201113,1,0.548059927615521,None,2,Lickrate,AllTrials
24,201114,2,0.600398961195378,None,2,Lickrate,AllTrials
24,201115,3,0.695883646464257,None,2,Lickrate,AllTrials
24,201117,1,0.517867972417511,None,2,Lickrate,AllTrials
24,201118,2,0.70243757431629,None,2,Lickrate,AllTrials
24,201119,3,0.791840174499306,None,2,Lickrate,AllTrials
45,211007,1,0.5,None,2,Lickrate,AllTrials
45,211008,2,0.606458333333333,None,2,Lickrate,AllTrials
45,211010,3,0.5,None,2,Lickrate,AllTrials
45,211012,1,0.55753850221429,None,2,Lickrate,AllTrials
45,211013,2,0.563731138545953,None,2,Lickrate,AllTrials
45,211014,3,0.484773596938776,None,2,Lickrate,AllTrials
46,211017,1,0.53,None,2,Lickrate,AllTrials
46,211018,2,0.65085,None,2,Lickrate,AllTrials
46,211019,3,0.919950504473634,None,2,Lickrate,AllTrials
46,211020,1,0.450029222676797,None,2,Lickrate,AllTrials
46,211021,2,0.541714285714286,None,2,Lickrate,AllTrials
46,211022,3,0.747900945902859,None,2,Lickrate,AllTrials
47,211017,1,0.568411659726353,None,2,Lickrate,AllTrials
47,211018,2,0.725262984878369,None,2,Lickrate,AllTrials
47,211019,3,0.676673975375274,None,2,Lickrate,AllTrials
47,211020,1,0.693049682875264,None,2,Lickrate,AllTrials
47,211021,2,0.545604395604396,None,2,Lickrate,AllTrials
47,211022,3,0.615960743801653,None,2,Lickrate,AllTrials
57,220405,3,0.785502958579882,Goal,1,DeltaLickrate,AllTrials
61,220908,3,0.9096,Goal,1,DeltaLickrate,AllTrials
63,221009,3,0.776753833228313,Goal,1,DeltaLickrate,AllTrials
62,221013,3,0.817260483761993,Goal,1,DeltaLickrate,AllTrials
65,221023,3,0.89537888348056,Goal,1,DeltaLickrate,AllTrials
4,230430,3,0.916743613419514,Goal,1,DeltaLickrate,AllTrials
57,220405,3,0.727810650887574,Goal,1,DeltaLickrate,LowStim
61,220908,3,0.96,Goal,1,DeltaLickrate,LowStim
63,221009,3,0.932098765432099,Goal,1,DeltaLickrate,LowStim
62,221013,3,0.82,Goal,1,DeltaLickrate,LowStim
65,221023,3,0.75,Goal,1,DeltaLickrate,LowStim
4,230430,3,0.890625,Goal,1,DeltaLickrate,LowStim
57,220405,3,0.674556213017751,Goal,1,DeltaLickrate,HighStim
61,220908,3,0.88,Goal,1,DeltaLickrate,HighStim
63,221009,3,0.984375,Goal,1,DeltaLickrate,HighStim
62,221013,3,0.74,Goal,1,DeltaLickrate,HighStim
65,221023,3,0.8125,Goal,1,DeltaLickrate,HighStim
4,230430,3,0.938775510204082,Goal,1,DeltaLickrate,HighStim
57,220405,3,0.808616863905325,Goal,1,DeltaLickrate,NoStim
