AnimalID,RecDate,NovelDay,rawAUC,normAUC,StimCond,Environ,BehavT,TrialT
21,201012,3,0.748512199960326,31.4322370914934,None,2,Speed,AllTrials
21,201014,1,0.734387755102041,0,None,2,Speed,AllTrials
21,201015,2,0.897476150223403,22.2073957508594,None,2,Speed,AllTrials
21,201016,3,0.775958229500415,5.66056202729013,None,2,Speed,AllTrials
24,201113,1,0.623769043009848,0,None,2,Speed,AllTrials
24,201114,2,0.774059994730701,24.0940061718454,None,2,Speed,AllTrials
24,201115,3,0.916476987770533,46.9256927769762,None,2,Speed,AllTrials
24,201117,1,0.623548437815862,0,None,2,Speed,AllTrials
24,201118,2,0.724843935790726,16.2450087004751,None,2,Speed,AllTrials
24,201119,3,0.86388723643334,38.5437255619349,None,2,Speed,AllTrials
45,211007,1,0.783068368705458,NaN,None,2,Speed,AllTrials
45,211008,2,0.915416666666667,NaN,None,2,Speed,AllTrials
45,211010,3,0.457900807381776,NaN,None,2,Speed,AllTrials
45,211012,1,0.500033049110979,0,None,2,Speed,AllTrials
45,211013,2,0.606858710562414,21.3637201863683,None,2,Speed,AllTrials
45,211014,3,0.655133928571429,31.0181256491361,None,2,Speed,AllTrials
46,211017,1,0.644444444444444,0,None,2,Speed,AllTrials
46,211018,2,0.8519,32.1913793103449,None,2,Speed,AllTrials
46,211019,3,0.864926006221133,34.212656137762,None,2,Speed,AllTrials
46,211020,1,0.623958632576846,0,None,2,Speed,AllTrials
46,211021,2,0.7449609473419,19.3926822144177,None,2,Speed,AllTrials
46,211022,3,0.700605802954618,12.2840147368796,None,2,Speed,AllTrials
47,211017,1,0.647233789411065,0,None,2,Speed,AllTrials
47,211018,2,0.877712031558185,35.6097357582086,None,2,Speed,AllTrials
47,211019,3,0.967954123798279,49.5524707817011,None,2,Speed,AllTrials
47,211020,1,0.942923553719009,0,None,2,Speed,AllTrials
47,211021,2,0.984399092970522,4.3986110101851,None,2,Speed,AllTrials
47,211022,3,0.837551652892562,-11.1750205423172,None,2,Speed,AllTrials
57,220329,1,0.517847222222222,0,Goal,2,Lickrate,AllTrials
57,220330,2,0.543276086552173,8.73303822414022,Goal,2,Lickrate,AllTrials
57,220331,3,0.651205936920223,2.1533429009749,Goal,2,Lickrate,AllTrials
63,221007,1,0.527913644796762,0,Goal,2,Lickrate,AllTrials
62,221008,1,0.516765819361817,0,Goal,2,Lickrate,AllTrials
63,221008,2,0.540339335180055,25.7525210091351,Goal,2,Lickrate,AllTrials
62,221009,2,0.549152290303391,-4.879704416699,Goal,2,Lickrate,AllTrials
63,221009,3,0.575646258503401,6.04523240403415,Goal,2,Lickrate,AllTrials
62,221010,3,0.786333680194242,44.7392402608038,Goal,2,Lickrate,AllTrials
65,221018,1,0.717982041587902,0,Goal,2,Lickrate,AllTrials
65,221019,2,0.597471644612476,2.35373540838812,Goal,2,Lickrate,AllTrials
65,221020,3,0.648947427043885,9.04174653887113,Goal,2,Lickrate,AllTrials
4,230428,1,0.527079914152254,0,Goal,2,Lickrate,AllTrials
4,230429,2,0.573110004526935,-16.7845976633207,Goal,2,Lickrate,AllTrials
4,230430,3,0.538429752066116,-9.61508931216976,Goal,2,Lickrate,AllTrials
57,220403,1,0.490504017531045,0,Sham,2,Lickrate,AllTrials
57,220404,2,0.53272052622702,8.60676104315562,Sham,2,Lickrate,AllTrials
57,220405,3,0.646737457679286,31.8516127420614,Sham,2,Lickrate,AllTrials
61,220906,1,0.52974580854516,0,Sham,2,Lickrate,AllTrials
61,220907,2,0.681279919375157,28.6050608396801,Sham,2,Lickrate,AllTrials
61,220908,3,0.531442174171791,0.320222566987459,Sham,2,Lickrate,AllTrials
62,221011,1,0.560123456790123,0,Sham,2,Lickrate,AllTrials
62,221012,2,0.576226128472222,2.87484330229227,Sham,2,Lickrate,AllTrials
62,221013,3,0.708333333333333,26.4602160017633,Sham,2,Lickrate,AllTrials
63,221004,1,0.552539639881752,0,Sham,2,Lickrate,AllTrials
63,221005,2,0.496755002704164,-10.0960425553407,Sham,2,Lickrate,AllTrials
63,221006,3,0.601024727110715,8.77495182777097,Sham,2,Lickrate,AllTrials
65,221021,1,0.529950140017758,0,Sham,2,Lickrate,AllTrials
65,221022,2,0.744356355818328,40.4578090673559,Sham,2,Lickrate,AllTrials
65,221023,3,0.522163786626597,-1.46926150277096,Sham,2,Lickrate,AllTrials
57,220329,1,0.517301038062284,0,Goal,2,Lickrate,LowStim
57,220330,2,0.514705882352941,4.37869822485208,Goal,2,Lickrate,LowStim
57,220331,3,0.587301587301587,-0.123456790123473,Goal,2,Lickrate,LowStim
63,221007,1,0.568181818181818,0,Goal,2,Lickrate,LowStim
62,221008,1,0.534971644612476,0,Goal,2,Lickrate,LowStim
63,221008,2,0.512396694214876,13.5318787492701,Goal,2,Lickrate,LowStim
62,221009,2,0.586167800453515,3.93734809613828,Goal,2,Lickrate,LowStim
63,221009,3,0.554209183673469,13.3127052381711,Goal,2,Lickrate,LowStim
62,221010,3,0.801512287334593,55.7223872535782,Goal,2,Lickrate,LowStim
65,221018,1,0.597222222222222,0,Goal,2,Lickrate,LowStim
65,221019,2,0.638888888888889,-9.81818181818181,Goal,2,Lickrate,LowStim
65,221020,3,0.639273356401384,-2.4591836734694,Goal,2,Lickrate,LowStim
4,230428,1,0.555555555555556,0,Goal,2,Lickrate,LowStim
4,230429,2,0.579881656804734,6.97674418604651,Goal,2,Lickrate,LowStim
4,230430,3,0.554869684499314,7.04112014162712,Goal,2,Lickrate,LowStim
57,220403,1,0.59,0,Sham,2,Lickrate,LowStim
57,220404,2,0.523809523809524,-11.2187247780468,Sham,2,Lickrate,LowStim
57,220405,3,0.693333333333333,17.5141242937853,Sham,2,Lickrate,LowStim
61,220906,1,0.588842975206612,0,Sham,2,Lickrate,LowStim
61,220907,2,0.57421875,-2.48355263157894,Sham,2,Lickrate,LowStim
61,220908,3,0.811728395061728,37.8514186701321,Sham,2,Lickrate,LowStim
62,221011,1,0.650173611111111,0,Sham,2,Lickrate,LowStim
62,221012,2,0.5536,-14.8535113484646,Sham,2,Lickrate,LowStim
62,221013,3,0.6576,1.1422162883845,Sham,2,Lickrate,LowStim
63,221004,1,0.5390625,0,Sham,2,Lickrate,LowStim
63,221005,2,0.545368620037807,1.16983096353526,Sham,2,Lickrate,LowStim
63,221006,3,0.577854671280277,7.19622887518178,Sham,2,Lickrate,LowStim
65,221021,1,0.580645161290323,0,Sham,2,Lickrate,LowStim
65,221022,2,0.589285714285714,1.48809523809521,Sham,2,Lickrate,LowStim
65,221023,3,0.650555555555555,12.0401234567901,Sham,2,Lickrate,LowStim
57,220329,1,0.573529411764706,0,Goal,2,Lickrate,HighStim
57,220330,2,0.546530612244898,6.93069306930694,Goal,2,Lickrate,HighStim
57,220331,3,0.702947845804989,-8.73161390213093,Goal,2,Lickrate,HighStim
63,221007,1,0.53375,0,Goal,2,Lickrate,HighStim
62,221008,1,0.525519848771267,0,Goal,2,Lickrate,HighStim
63,221008,2,0.494834710743802,22.5652654224083,Goal,2,Lickrate,HighStim
62,221009,2,0.6125,-3.8443891344583,Goal,2,Lickrate,HighStim
63,221009,3,0.602040816326531,6.79487179487181,Goal,2,Lickrate,HighStim
62,221010,3,0.880208333333333,61.0538025889968,Goal,2,Lickrate,HighStim
65,221018,1,0.795138888888889,0,Goal,2,Lickrate,HighStim
